Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,97.7
2015,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,98.1
2016,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,98.1
2017,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,97.0
2018,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,97.646444
2019,A,0,C,A,N,SH_ACS_MCV2,KG04,PT,98.140747
2007,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,98.9
2008,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.5
2009,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.8
2010,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.7
2011,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,94.7
2012,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,96.6
2013,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,97.9
2014,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,96.1
2015,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.0
2016,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.2
2017,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,96.8
2018,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,98.10916
2019,A,0,C,A,N,SH_ACS_MCV2,KG06,PT,99.619945
2007,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,98.6
2008,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,99.2
2009,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.6
2010,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.1
2011,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.7
2012,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,98.8
2013,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.7
2014,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,94.3
2015,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.1
2016,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,97.0
2017,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,95.6
2018,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,98.413291
2019,A,0,C,A,N,SH_ACS_MCV2,KG07,PT,95.974889
2007,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,99.1
2008,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,97.4
2009,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,98.7
2010,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,96.4
2011,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,97.1
2012,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,96.4
2013,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,99.3
2014,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,96.5
2015,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,98.6
2016,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,95.0
2017,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,96.3
2018,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,97.43813
2019,A,0,C,A,N,SH_ACS_MCV2,KG08,PT,99.450649
2007,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,99.8
2008,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,99.9
2009,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,98.6
2010,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,99.0
2011,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,97.4
2012,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,97.7
2013,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,98.4
2014,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,95.6
2015,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,99.8
2016,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,95.1
2017,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,91.7
2018,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,96.281062
2019,A,0,C,A,N,SH_ACS_MCV2,KG11,PT,96.444387
2007,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,98.8
2008,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,98.9
2009,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,98.2
2010,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,97.4
2011,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,99.7
2012,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,98.1
2013,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,98.7
2014,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,99.9
2015,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,99.7
2016,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,96.8
2017,A,0,C,A,N,SH_ACS_MCV2,KG21,PT,97.7
