Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,ACTIVITY,UNIT_MEASURE,Value
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,7520.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,8564.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,7942.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,9644.7
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,9733.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,10498.3
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,10921.3
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,12427.6
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,10633.5
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,12024.1
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,11195.2
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,13722.1
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,12556.1
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,13757.5
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_L,CUR_LCU,14041.0
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_L,CUR_LCU,14889.7
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,10690.0
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,15826.9
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,12009.8
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,16723.3
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,12487.8
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,16335.8
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,13570.4
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,19122.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,17195.1
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,14561.4
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,13596.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,17860.3
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,15840.4
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,25270.8
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,16417.0
2018,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,22722.1
2019,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_M,CUR_LCU,18913.7
2019,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_M,CUR_LCU,26838.2
2011,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,6066.8
2011,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,7583.4
2012,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,6684.2
2012,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,8698.8
2013,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,7577.1
2013,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,9330.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,9014.9
2014,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,11180.8
2015,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,10734.0
2015,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,11421.0
2016,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,10033.8
2016,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,11962.3
2017,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,11458.3
2017,A,0,C,A,N,_L_KG_080501_1,KG,M,ISIC4_N,CUR_LCU,12358.4
2018,A,0,C,A,N,_L_KG_080501_1,KG,F,ISIC4_N,CUR_LCU,10579.6
