Year,OBS_STATUS,UNIT_MULT,NATURE,FREQ,REPORTING_TYPE,SERIES,REF_AREA,SEX,AGE,URBANISATION,ACTIVITY,UNIT_MEASURE,Value
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,31.5
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,35.3
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,43.5
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,45.4
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,40.5
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,52.6
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y65T69,,,PER_1000_POP,66.3
2007,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,8.5
2008,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,8.7
2009,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,11.8
2010,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,10.4
2011,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,11.1
2012,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,10.1
2013,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,7.5
2014,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,6.9
2015,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,7.0
2016,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,6.3
2017,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,4.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,4.1
2019,A,0,C,A,N,_L_KG_080301_1,KG,,Y_GE70,,,PER_1000_POP,7.9
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,396.7
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,421.9
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,431.7
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,414.4
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,419.3
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,408.0
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,418.6
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,433.7
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,460.0
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,489.0
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,526.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,541.6
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,U,,PER_1000_POP,572.0
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1118.1
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1137.7
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1161.2
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1175.2
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1184.6
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1194.8
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1210.5
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1219.3
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1226.5
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1194.0
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1085.0
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1145.3
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,R,,PER_1000_POP,1182.2
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,755.3
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,767.0
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,740.5
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,720.7
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,719.4
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,711.4
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,731.6
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,749.0
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,710.1
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,656.5
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,497.7
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,463.0
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_A,PER_1000_POP,444.5
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,106.6
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,110.4
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,114.7
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,114.0
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,111.3
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,115.3
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,102.2
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,108.5
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,117.7
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,117.1
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,160.5
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,225.0
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_BTE,PER_1000_POP,237.8
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,172.5
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,180.9
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,204.7
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,197.7
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,204.9
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,222.4
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,210.0
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,209.3
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,222.7
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,250.3
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,221.8
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,217.0
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_F,PER_1000_POP,261.7
2007,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,480.4
2008,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,501.4
2009,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,533.1
2010,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,557.2
2011,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,568.4
2012,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,553.7
2013,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,585.2
2014,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,586.2
2015,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,635.7
2016,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,659.1
2017,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,731.3
2018,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,781.9
2019,A,0,C,A,N,_L_KG_080301_1,KG,,,,ISIC4_S,PER_1000_POP,810.2
