Year,Observation status,Unit multiplier,Nature of data points,Frequency of observation,Reporting type,SERIES,Reference area,Sex,Age,Education level,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,95
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,94
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,74
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,120
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,364
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Students,Number,318
2009,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,94
2010,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,93
2011,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,70
2012,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,87
2013,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,85
2014,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,143
2015,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,165
2016,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,367
2017,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,523
2018,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,315
2019,Normal value,Units,Country Data,Annual,National,Number of victims of domestic violence,Kyrgyzstan,,,,Activity status: Retirees,Number,359
